character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie,UID
EAGER TOWNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1,7,1,3546907e-73b8-11ed-ba7b-84fdd1f90de3
ELECTRONIC VOICE-OVER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,1,7,1,35469129-73b8-11ed-ba7b-84fdd1f90de3
FAMILIES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1,354691c6-73b8-11ed-ba7b-84fdd1f90de3
GAMORA'S MOTHER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1,35469260-73b8-11ed-ba7b-84fdd1f90de3
HYDRA SOLDIER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1,354692f5-73b8-11ed-ba7b-84fdd1f90de3
MR. HAPGOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1,354693c1-73b8-11ed-ba7b-84fdd1f90de3
OFF SCREEN WORKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,7,1,35469468-73b8-11ed-ba7b-84fdd1f90de3
OLD MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1,35469503-73b8-11ed-ba7b-84fdd1f90de3
ORDERLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1,7,1,3546959e-73b8-11ed-ba7b-84fdd1f90de3
PATIENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,7,1,35469630-73b8-11ed-ba7b-84fdd1f90de3
SCIENTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,7,1,354696d0-73b8-11ed-ba7b-84fdd1f90de3
VOICEMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,7,1,35469766-73b8-11ed-ba7b-84fdd1f90de3
ZRINKA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,1,354697fb-73b8-11ed-ba7b-84fdd1f90de3
ANTIQUE STORE OWNER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,354698bc-73b8-11ed-ba7b-84fdd1f90de3
DODC CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,1,35469954-73b8-11ed-ba7b-84fdd1f90de3
GOVERNMENT OFFICIAL #1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,6,1,354699f1-73b8-11ed-ba7b-84fdd1f90de3
JOTUN SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,6,1,35469a83-73b8-11ed-ba7b-84fdd1f90de3
KID IN THE BACKSEAT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,6,1,35469b13-73b8-11ed-ba7b-84fdd1f90de3
KIDS IN USO AUDIENCE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,35469ba5-73b8-11ed-ba7b-84fdd1f90de3
KURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,6,1,35469c37-73b8-11ed-ba7b-84fdd1f90de3
MANDY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,35469cd4-73b8-11ed-ba7b-84fdd1f90de3
NEWS REPORTER #3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,6,1,35469d68-73b8-11ed-ba7b-84fdd1f90de3
REPORTER #3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,6,1,35469e1a-73b8-11ed-ba7b-84fdd1f90de3
RESIDENT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,1,35469eb4-73b8-11ed-ba7b-84fdd1f90de3
ROBBER 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,6,1,35469f45-73b8-11ed-ba7b-84fdd1f90de3
SECURITY CHIEF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,35469fdc-73b8-11ed-ba7b-84fdd1f90de3
SMITHSONIAN GUARD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,3546a06e-73b8-11ed-ba7b-84fdd1f90de3
"VERS, BRON-CHAR, KORATH, MINN-ERVA AND ATT-LASS",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,6,1,3546a133-73b8-11ed-ba7b-84fdd1f90de3
DODC DRIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,5,1,3546a1f1-73b8-11ed-ba7b-84fdd1f90de3
DRILL INSTRUCTOR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,5,1,3546a288-73b8-11ed-ba7b-84fdd1f90de3
FEMALE CITIZEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,5,1,3546a323-73b8-11ed-ba7b-84fdd1f90de3
HELICARRIER INTERCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,5,1,3546a3b9-73b8-11ed-ba7b-84fdd1f90de3
JOTUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,5,1,3546a469-73b8-11ed-ba7b-84fdd1f90de3
SCRAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,5,1,3546a50d-73b8-11ed-ba7b-84fdd1f90de3
SHIELD AGENT #1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,3546a5a8-73b8-11ed-ba7b-84fdd1f90de3
WORLD HUB TECH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,3546a6aa-73b8-11ed-ba7b-84fdd1f90de3
YOUNG SHIELD PILOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,5,1,3546a7b2-73b8-11ed-ba7b-84fdd1f90de3
911 OPERATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1,3546a8ad-73b8-11ed-ba7b-84fdd1f90de3
ARMY HECKLER#2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546a94e-73b8-11ed-ba7b-84fdd1f90de3
ARMY HECKLER#3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546a9e3-73b8-11ed-ba7b-84fdd1f90de3
ARMY HECKLER#4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546aa8c-73b8-11ed-ba7b-84fdd1f90de3
ASGARDIAN WOMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,4,1,3546ab6f-73b8-11ed-ba7b-84fdd1f90de3
BORDER TRIBE COMMANDER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546ac7a-73b8-11ed-ba7b-84fdd1f90de3
COUNCILMAN 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,1,3546ad72-73b8-11ed-ba7b-84fdd1f90de3
FRENCH PIRATE #2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546ae68-73b8-11ed-ba7b-84fdd1f90de3
GSG-9 DRIVER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546af45-73b8-11ed-ba7b-84fdd1f90de3
JACK ROLLINS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546b079-73b8-11ed-ba7b-84fdd1f90de3
JAQUES DERNIER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546b196-73b8-11ed-ba7b-84fdd1f90de3
MAINFRAME,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,1,3546b275-73b8-11ed-ba7b-84fdd1f90de3
MAN#1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546b317-73b8-11ed-ba7b-84fdd1f90de3
MAN#2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546b3af-73b8-11ed-ba7b-84fdd1f90de3
MANDARIN LOOK-OUT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4,1,3546b444-73b8-11ed-ba7b-84fdd1f90de3
NASA SCIENTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,1,3546b503-73b8-11ed-ba7b-84fdd1f90de3
NEWS REPORTER #2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,4,1,3546b599-73b8-11ed-ba7b-84fdd1f90de3
PERSON,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,1,3546b845-73b8-11ed-ba7b-84fdd1f90de3
PRETTY MUCH EVERYONE IN THE CROWD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,1,3546b8fe-73b8-11ed-ba7b-84fdd1f90de3
PYM TECH EMPLOYEE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546ba1f-73b8-11ed-ba7b-84fdd1f90de3
RAMIREZ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,4,1,3546bae2-73b8-11ed-ba7b-84fdd1f90de3
RANDOM WOMAN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546bb78-73b8-11ed-ba7b-84fdd1f90de3
SPANISH TEACHER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1,3546bc07-73b8-11ed-ba7b-84fdd1f90de3
SSR DOCTOR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546bca2-73b8-11ed-ba7b-84fdd1f90de3
TOURIST,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,4,1,3546bd36-73b8-11ed-ba7b-84fdd1f90de3
VOICE FROM EARPIECE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,3546bdd8-73b8-11ed-ba7b-84fdd1f90de3
WOMAN IN CROWD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,1,3546be64-73b8-11ed-ba7b-84fdd1f90de3
CAB DRIVER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546befa-73b8-11ed-ba7b-84fdd1f90de3
DRIVER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546bf88-73b8-11ed-ba7b-84fdd1f90de3
"ELDERS, WARRIORS, DORA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c016-73b8-11ed-ba7b-84fdd1f90de3
GOLDSTEIN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1,3546c0ad-73b8-11ed-ba7b-84fdd1f90de3
GRANDPA QUILL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c13d-73b8-11ed-ba7b-84fdd1f90de3
HALF-NUT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c1cb-73b8-11ed-ba7b-84fdd1f90de3
IRON MAN KID,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,3,1,3546c25a-73b8-11ed-ba7b-84fdd1f90de3
JASON/BETTY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,1,3546c2e8-73b8-11ed-ba7b-84fdd1f90de3
KHALID,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,3,1,3546c3bb-73b8-11ed-ba7b-84fdd1f90de3
MAN IN CROWD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1,3546c44d-73b8-11ed-ba7b-84fdd1f90de3
MERCENARY #2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c4e5-73b8-11ed-ba7b-84fdd1f90de3
OLDER MAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c574-73b8-11ed-ba7b-84fdd1f90de3
PROPRIETOR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c60a-73b8-11ed-ba7b-84fdd1f90de3
RESIDENT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,1,3546c696-73b8-11ed-ba7b-84fdd1f90de3
SECOND GUARD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1,3546c724-73b8-11ed-ba7b-84fdd1f90de3
SHIELD AGENT #3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c7b0-73b8-11ed-ba7b-84fdd1f90de3
SOMEONE IN BACKGROUND,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1,3546c83e-73b8-11ed-ba7b-84fdd1f90de3
USO GIRL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3546c900-73b8-11ed-ba7b-84fdd1f90de3
WEASELLY THUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,1,3546c9b4-73b8-11ed-ba7b-84fdd1f90de3
WEIRD OLD MAN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,3546ca44-73b8-11ed-ba7b-84fdd1f90de3
ACTOR SIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,3546cad7-73b8-11ed-ba7b-84fdd1f90de3
ASGARDIAN CITIZENS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,3546cb66-73b8-11ed-ba7b-84fdd1f90de3
BORDER TRIBE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546cbfb-73b8-11ed-ba7b-84fdd1f90de3
CARGO TRUCK MILITANT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546cc91-73b8-11ed-ba7b-84fdd1f90de3
CHEERLEADER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3546cd1d-73b8-11ed-ba7b-84fdd1f90de3
CIA AGENT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546ce38-73b8-11ed-ba7b-84fdd1f90de3
CORPORAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546ced1-73b8-11ed-ba7b-84fdd1f90de3
DOCTOR #1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546cf7e-73b8-11ed-ba7b-84fdd1f90de3
ELK RIDGE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,1,3546d070-73b8-11ed-ba7b-84fdd1f90de3
FBI AGENT 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3546d155-73b8-11ed-ba7b-84fdd1f90de3
FRIEND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3546d255-73b8-11ed-ba7b-84fdd1f90de3
FURY AND MARIA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546d32e-73b8-11ed-ba7b-84fdd1f90de3
HYDRA TECHNICIANS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546d415-73b8-11ed-ba7b-84fdd1f90de3
JOSEF / SUPER SOLDIER #1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546d536-73b8-11ed-ba7b-84fdd1f90de3
JOTUN VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,3546d62f-73b8-11ed-ba7b-84fdd1f90de3
MAINTENANCE GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,1,3546d727-73b8-11ed-ba7b-84fdd1f90de3
MALE VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3546d81b-73b8-11ed-ba7b-84fdd1f90de3
NIGERIAN WOMAN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546d921-73b8-11ed-ba7b-84fdd1f90de3
PEOPLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1,3546da16-73b8-11ed-ba7b-84fdd1f90de3
POOL BBQ DAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546db11-73b8-11ed-ba7b-84fdd1f90de3
PYM TECH GATE GUARD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546dc13-73b8-11ed-ba7b-84fdd1f90de3
ROBBER 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3546dd0c-73b8-11ed-ba7b-84fdd1f90de3
SCURRILOUS RAVAGER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,3546dda9-73b8-11ed-ba7b-84fdd1f90de3
SOUTH AFRICAN TOUGH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546de3b-73b8-11ed-ba7b-84fdd1f90de3
SOVEREIGN PILOT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,3546df1d-73b8-11ed-ba7b-84fdd1f90de3
STRIKE AGENT #2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546dfb4-73b8-11ed-ba7b-84fdd1f90de3
TOWNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,3546e03f-73b8-11ed-ba7b-84fdd1f90de3
VOLSTAGG / HOGUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,3546e0d5-73b8-11ed-ba7b-84fdd1f90de3
WAKANDAN CHILD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546e222-73b8-11ed-ba7b-84fdd1f90de3
WAKANDAN CHILDREN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3546e2b6-73b8-11ed-ba7b-84fdd1f90de3
AGENT DELANCEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,3546e359-73b8-11ed-ba7b-84fdd1f90de3
ANNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3546e3ef-73b8-11ed-ba7b-84fdd1f90de3
BALLET INSTRUCTOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546e481-73b8-11ed-ba7b-84fdd1f90de3
DUBAI BEAUTY #1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,3546e51e-73b8-11ed-ba7b-84fdd1f90de3
DURAND,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546e5c2-73b8-11ed-ba7b-84fdd1f90de3
HYDRA GUARDS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546e67b-73b8-11ed-ba7b-84fdd1f90de3
JACQUES DERNIER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546e711-73b8-11ed-ba7b-84fdd1f90de3
LIZ/NED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3546e7b3-73b8-11ed-ba7b-84fdd1f90de3
MERCENARY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546e848-73b8-11ed-ba7b-84fdd1f90de3
MUFFLED VOICE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546e8db-73b8-11ed-ba7b-84fdd1f90de3
ROSE HILL CHRISTMAS TREE SHOPPER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,3546e976-73b8-11ed-ba7b-84fdd1f90de3
SHURI/NAKIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546ea0c-73b8-11ed-ba7b-84fdd1f90de3
SOH-LARR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546ea9d-73b8-11ed-ba7b-84fdd1f90de3
STRIKE AGENT #1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546eb4a-73b8-11ed-ba7b-84fdd1f90de3
STRIKE AGENT #3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3546ebe8-73b8-11ed-ba7b-84fdd1f90de3
TALL RAVAGER,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3546ec84-73b8-11ed-ba7b-84fdd1f90de3
TENT KIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3546ed13-73b8-11ed-ba7b-84fdd1f90de3
THOMAS RICHARDS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,3546eda5-73b8-11ed-ba7b-84fdd1f90de3
THOR / BANNER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3546ee57-73b8-11ed-ba7b-84fdd1f90de3
